op_name,category,has_xpu_impl,triton_coverage_status,dispatch_keys,tags,notes
native_dropout_backward,pointwise,False,likely_yes,"[""CPU, NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA"", ""CUDA"", ""MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
abs,pointwise,False,likely_yes,"[""CompositeExplicitAutograd"", ""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMPS, SparseCsrMeta"", ""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
abs.out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS, MTIA"", ""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMPS, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
angle,pointwise,False,likely_yes,"[""CPU, CUDA, MPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
angle.out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
sgn,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta"", ""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
sgn_,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta"", ""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
sgn.out,pointwise,False,likely_yes,"[""CPU, CUDA"", ""MPS"", ""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
conj_physical,pointwise,False,likely_yes,[],"[""pointwise"", ""maybe_aliasing_or_mutating""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
conj_physical.out,pointwise,False,likely_yes,"[""CPU, CUDA"", ""MPS"", ""SparseCPU, SparseCUDA, SparseMPS"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMPS, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
conj_physical_,pointwise,False,likely_yes,"[""CompositeExplicitAutograd"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
acos,pointwise,False,likely_yes,[],"[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
acos_,pointwise,False,likely_yes,[],"[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
acos.out,pointwise,False,likely_yes,"[""CPU, CUDA, MPS""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
add.Tensor,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS, SparseMeta"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta"", ""MkldnnCPU"", ""ZeroTensor"", ""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
add_.Tensor,pointwise,False,likely_yes,"[""SparseCPU, SparseCUDA, SparseMPS, SparseMeta"", ""SparseCsrCPU, SparseCsrCUDA, SparseCsrMeta"", ""MkldnnCPU"", ""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
add.out,pointwise,False,likely_yes,"[""SparseCPU, SparseMeta"", ""SparseCUDA"", ""SparseMPS"", ""SparseCsrCPU, SparseCsrMeta"", ""SparseCsrCUDA"", ""MkldnnCPU"", ""MPS"", ""MTIA""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
add.Scalar,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""core"", ""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
add_.Scalar,pointwise,False,likely_yes,"[""CompositeExplicitAutograd""]","[""pointwise""]",Pointwise op likely handled by Inductor's generic pointwise path with Triton on CUDA. Inductor handles pointwise ops generically and uses Triton for GPU codegen. Most pointwise ops are likely covered.
all.dim,reduction,False,likely_yes,"[""NestedTensorCPU, NestedTensorHPU, NestedTensorCUDA""]","[""reduction""]",Reduction op likely handled by Inductor's reduction path with Triton on CUDA. Inductor handles reduction ops and uses Triton for GPU codegen. Many reduction ops are likely covered.
